Price,Close
Ticker,AAPL
Date,
2012-01-03,12.33321475982666
2012-01-04,12.399497985839844
2012-01-05,12.537155151367188
2012-01-06,12.668216705322266
2012-01-09,12.648122787475586
2012-01-10,12.69340991973877
2012-01-11,12.672713279724121
2012-01-12,12.637924194335938
2012-01-13,12.59054183959961
2012-01-17,12.737196922302246
2012-01-18,12.869458198547363
2012-01-19,12.828670501708984
2012-01-20,12.605237007141113
2012-01-23,12.818469047546387
2012-01-24,12.608531951904297
2012-01-25,13.395796775817871
2012-01-26,13.334918022155762
2012-01-27,13.414392471313477
2012-01-30,13.586243629455566
2012-01-31,13.690312385559082
2012-02-01,13.681611061096191
2012-02-02,13.64952564239502
2012-02-03,13.786282539367676
2012-02-06,13.91494369506836
2012-02-07,14.060700416564941
2012-02-08,14.296133995056152
2012-02-09,14.790680885314941
2012-02-10,14.798179626464844
2012-02-13,15.073500633239746
2012-02-14,15.279236793518066
2012-02-15,14.925643920898438
2012-02-16,15.061800003051758
2012-02-17,15.05910587310791
2012-02-21,15.440888404846191
2012-02-22,15.386605262756348
2012-02-23,15.48707389831543
2012-02-24,15.667624473571777
2012-02-27,15.768092155456543
2012-02-28,16.057504653930664
2012-02-29,16.268341064453125
2012-03-01,16.329219818115234
2012-03-02,16.350513458251953
2012-03-05,15.990025520324707
2012-03-06,15.903054237365723
2012-03-07,15.9159517288208
2012-03-08,16.254844665527344
2012-03-09,16.350217819213867
2012-03-12,16.555065155029297
2012-03-13,17.03790855407715
2012-03-14,17.682113647460938
2012-03-15,17.561555862426758
2012-03-16,17.56184959411621
2012-03-19,18.027605056762695
2012-03-20,18.173377990722656
2012-03-21,18.069608688354492
2012-03-22,17.974836349487305
2012-03-23,17.876161575317383
2012-03-26,18.203969955444336
2012-03-27,18.428903579711914
2012-03-28,18.5230655670166
2012-03-29,18.29033660888672
2012-03-30,17.981130599975586
2012-04-02,18.553363800048828
2012-04-03,18.87397003173828
2012-04-04,18.723703384399414
2012-04-05,19.004730224609375
2012-04-09,19.081201553344727
2012-04-10,18.847578048706055
2012-04-11,18.780391693115234
2012-04-12,18.677515029907227
2012-04-13,18.151479721069336
2012-04-16,17.398700714111328
2012-04-17,18.285533905029297
2012-04-18,18.244749069213867
2012-04-19,17.617937088012695
2012-04-20,17.184267044067383
2012-04-23,17.1458740234375
2012-04-24,16.803380966186523
2012-04-25,18.294544219970703
2012-04-26,18.225557327270508
2012-04-27,18.0845947265625
2012-04-30,17.5141658782959
2012-05-01,17.458683013916016
2012-05-02,17.57415199279785
2012-05-03,17.44939422607422
2012-05-04,16.952436447143555
2012-05-07,17.079303741455078
2012-05-08,17.040311813354492
2012-05-09,17.070302963256836
2012-05-10,17.11049461364746
2012-05-11,16.996227264404297
2012-05-14,16.74159812927246
2012-05-15,16.590145111083984
2012-05-16,16.37750816345215
2012-05-17,15.898853302001953
2012-05-18,15.906644821166992
2012-05-21,16.833372116088867
2012-05-22,16.70410919189453
2012-05-23,17.1116943359375
2012-05-24,16.95454216003418
2012-05-25,16.863664627075195
2012-05-29,17.162967681884766
2012-05-30,17.369916915893555
2012-05-31,17.32672691345215
2012-06-01,16.824678421020508
2012-06-04,16.923648834228516
2012-06-05,16.87985610961914
2012-06-06,17.138681411743164
2012-06-07,17.146480560302734
2012-06-08,17.404396057128906
2012-06-11,17.129989624023438
2012-06-12,17.27963638305664
2012-06-13,17.15967559814453
2012-06-14,17.14078140258789
2012-06-15,17.218761444091797
2012-06-18,17.568153381347656
2012-06-19,17.617036819458008
2012-06-20,17.56694793701172
2012-06-21,17.324935913085938
2012-06-22,17.457780838012695
2012-06-25,17.11799430847168
2012-06-26,17.155778884887695
2012-06-27,17.229856491088867
2012-06-28,17.0664005279541
2012-06-29,17.514772415161133
2012-07-02,17.77029037475586
2012-07-03,17.9769287109375
2012-07-05,18.292736053466797
2012-07-06,18.170976638793945
2012-07-09,18.411203384399414
2012-07-10,18.24085235595703
2012-07-11,18.127485275268555
2012-07-12,17.96163558959961
2012-07-13,18.1436824798584
2012-07-16,18.201868057250977
2012-07-17,18.20277214050293
2012-07-18,18.182369232177734
2012-07-19,18.42409896850586
2012-07-20,18.12358283996582
2012-07-23,18.109495162963867
2012-07-24,18.022218704223633
2012-07-25,17.243947982788086
2012-07-26,17.241249084472656
2012-07-27,17.549556732177734
2012-07-30,17.84556770324707
2012-07-31,18.31733512878418
2012-08-01,18.198862075805664
2012-08-02,18.228254318237305
2012-08-03,18.465490341186523
2012-08-06,18.670928955078125
2012-08-07,18.621740341186523
2012-08-08,18.590246200561523
2012-08-09,18.696266174316406
2012-08-10,18.72548484802246
2012-08-13,18.975482940673828
2012-08-14,19.026384353637695
2012-08-15,19.000476837158203
2012-08-16,19.16644287109375
2012-08-17,19.52094841003418
2012-08-20,20.034189224243164
2012-08-21,19.760398864746094
2012-08-22,20.146238327026367
2012-08-23,19.958290100097656
2012-08-24,19.976051330566406
2012-08-27,20.351350784301758
2012-08-28,20.324848175048828
2012-08-29,20.28479766845703
2012-08-30,19.99563217163086
2012-08-31,20.03689956665039
2012-09-04,20.32997703552246
2012-09-05,20.187204360961914
2012-09-06,20.369121551513672
2012-09-07,20.49472427368164
2012-09-10,19.96160316467285
